code	name	sw_l1_name	行业股票数	市值	流通市值	pe	pe行业排名	pb	pb行业排名	ps	ps行业排名	营收同比	营收同比行业排名	现金转化率	现金转化率行业排名	杠杆率	杠杆率行业排名	扣非净/营收
300181	佐力药业	医药生物I	361	43.6384	33.2548	35.8647	154	2.4866	92	3.5253	118	76.07	89	14	120	1.409	195	0.1273
300183	东软载波	通信I	105	60.0929	36.8902	34.2223	30	1.9863	21	6.6716	68	22.24	70	31.51	4	1.0734	1	0.09
300185	通裕重工	电气设备I	221	113.7861	89.5191	27.1119	79	1.7246	42	1.8983	73	26.35	168	10.91	35	1.8003	112	0.0649
300187	永清环保	公用事业I	180	44.7283	44.0864	122.9974	155	3.0579	137	5.9104	141	6.47	152	19.8	47	2.2917	99	0.1342
300188	美亚柏科	计算机I	257	133.836	99.7508	34.5251	80	4.1204	150	5.5076	116	19.11	174	-181.73	244	1.2779	84	-0.1571
300190	维尔利	公用事业I	180	52.8353	50.4291	14.4633	41	1.2417	39	1.5794	52	27.35	82	-21.45	149	2.2333	90	0.0743
300191	潜能恒信	采掘I	60	57.343999999999994	37.098	856.7341	50	4.7632	48	14.5375	49	-23.86	55	14.36	22	1.2901	6	0.0673
300192	科德教育	传媒I	148	35.0191	23.0733	28.128	43	3.7516	68	3.9287	50	24.9	71	24.97	26	1.7378	95	0.1477
300193	佳士科技	机械设备I	415	61.4364	55.1204	32.2476	170	2.6425	171	5.196000000000001	243	114.59	66	11.66	93	1.1986	64	0.1406
300194	福安药业	医药生物I	361	51.3956	40.6495	25.3802	93	1.2526	11	2.1015	62	13.52	272	-1.83	261	1.3243	154	0.0845
300196	长海股份	化工I	372	72.6261	43.6842	22.6476	135	2.4796	166	3.2998	204	40.03	221	20.7	40	1.3054	108	0.1827
300197	节能铁汉	建筑装饰I	133	84.4038	53.1136	84.086	111	1.2871	44	1.9018	80	71.22	45	-24.33	68	3.6917	102	-0.2624
300198	纳川股份	建筑材料I	71	38.3736	32.3408	86.2911	59	2.647	43	4.1348	57	30.07	61	-51.36	64	2.5537	57	-0.0034
300200	高盟新材	化工I	372	38.318000000000005	37.3058	15.5634	61	2.081	130	3.5815	226	60.09	148	10.72	83	1.1543	50	0.1924
300203	聚光科技	公用事业I	180	50.6819	50.6269	11.4663	13	1.3745	50	1.2139	35	16.44	123	-74.91	172	2.3207	101	-0.1656
300206	理邦仪器	医药生物I	361	99.3581	57.5511	14.2686	38	6.0379	225	4.0253	129	41.64	149	13.85	121	1.1975	92	0.2229
300207	欣旺达	电子I	309	405.6239	362.3677	39.2637	132	5.8024	221	1.2537	31	51.21	169	6.89	124	4.2984	306	0.0208
300210	森远股份	机械设备I	415	17.2867	14.0356	14.6739	30	1.7236	70	4.9518	237	-27.02	406	43.52	13	1.7464	249	0.0435
300211	亿通科技	通信I	105	26.7566	26.2527	244.8918	83	5.8057	77	29.7027	86	49.46	44	-8.91	52	1.0886	4	0.08
300212	易华录	计算机I	257	161.3718	153.933	23.4028	19	4.0068	144	5.8247	122	-5.17	225	-34.13	114	3.2624	247	0.0817
300213	佳讯飞鸿	通信I	105	32.3137	29.5881	23.604	12	1.5477	12	3.3354	40	4.76	89	-11.08	54	1.385	45	-0.0316
300214	日科化学	化工I	372	30.2753	25.734	16.018	68	1.5723	65	1.2836	72	17	318	4.93	145	1.1969	64	0.0646
300215	电科院	电气设备I	221	58.9217	43.5249	38.6905	126	3.2025	127	7.4637	173	90.69	56	52.28	8	2.1085	150	0.0884
300217	东方电热	家用电器I	66	37.4407	25.8473	42.9516	48	1.811	12	1.4783	22	28.05	57	-20.27	60	1.9612	43	0.0364
300218	安利股份	化工I	372	20.6138	20.5463	23.9675	145	1.9194	105	1.2143	66	51.8	178	-14.45	307	1.7042	226	0.0624
300219	鸿利智汇	电子I	309	67.467	59.8193	47.0225	165	3.4085	127	1.9845	56	47.42	181	-4.1	203	2.1235	242	0.0646
300221	银禧科技	化工I	372	27.3116	26.6211	19.506	107	2.4298	162	1.4822	90	84.52	86	-8.88	271	1.5441	186	0.0628
300223	北京君正	电子I	309	290.0625	86.0186	160.1565	267	3.4797	131	9.1194	218	1773.8199	2	17.77	59	1.0925	17	0.1092
300224	正海磁材	有色金属I	124	88.0913	87.1941	59.2953	89	3.5346	74	3.9560000000000004	76	78.29	34	8.67	30	1.6909	60	0.0484
300225	金力泰	化工I	372	97.0583	92.8247	85.9425	308	9.3629	333	9.6107	318	108.96	53	-62.22	368	1.4218	141	0.0833
300226	上海钢联	传媒I	148	123.7421	119.1189	54.5586	69	8.786	97	0.1949	1	78.09	25	0.57	61	4.6544	141	0.0037
300227	光韵达	电子I	309	46.457	34.3969	34.4189	106	3.3482	118	5.0393	177	23.94	244	0.52	175	1.4321	121	0.0958
300228	富瑞特装	机械设备I	415	36.3081	26.5073	46.8856	245	1.8771	82	1.9736	83	9.15	356	14.1	78	2.034	309	0.0201
300229	拓尔思	计算机I	257	58.0067	57.0736	17.9476	8	2.7043	70	4.3796	96	10.81	203	-51.54	150	1.5412	164	0.0591
